place_name,category_name,address_name,place_url,분류
더스노우 논현점,음식점 > 카페 > 테마카페 > 디저트카페,서울 강남구 논현동 185-1,http://place.map.kakao.com/753592260,카페
고양이라좋은날,음식점 > 카페 > 테마카페 > 고양이카페,서울 강남구 역삼동 817-38,http://place.map.kakao.com/298115044,카페
북카페레벤,음식점 > 카페 > 테마카페 > 북카페,서울 강남구 논현동 123,http://place.map.kakao.com/1455370465,카페
스타벅스 신사역점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 강남구 논현동 1-3,http://place.map.kakao.com/26395435,카페
사운즈커피 프리미어 강남,음식점 > 카페 > 커피전문점,서울 강남구 역삼동 826-14,http://place.map.kakao.com/1654051615,카페
투썸플레이스 강남IBC점,음식점 > 카페 > 커피전문점 > 투썸플레이스,서울 강남구 역삼동 648-1,http://place.map.kakao.com/493947916,카페
카페알케미,음식점 > 카페,서울 강남구 일원동 646-4,http://place.map.kakao.com/1438661188,카페
스타벅스 강남비젼타워점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 강남구 역삼동 826-26,http://place.map.kakao.com/17884744,카페
카페봄,음식점 > 카페,서울 강남구 역삼동 700-31,http://place.map.kakao.com/1992321980,카페
지유가오카핫쵸메 7호점,음식점 > 카페 > 테마카페 > 디저트카페,서울 강남구 논현동 180-14,http://place.map.kakao.com/20230933,카페
비비브라운,음식점 > 카페 > 커피전문점,서울 강남구 청담동 2-10,http://place.map.kakao.com/430492501,카페
마츄피츄,음식점 > 카페 > 테마카페 > 디저트카페,서울 강남구 논현동 254-22,http://place.map.kakao.com/2098941336,카페
이자카야나무 논현점,음식점 > 술집 > 일본식주점,서울 강남구 논현동 167-1,http://place.map.kakao.com/1212558291,술집
앨리스,음식점 > 술집 > 칵테일바,서울 강남구 청담동 84-20,http://place.map.kakao.com/26857068,술집
후문포차,음식점 > 술집 > 실내포장마차,서울 강남구 논현동 182-31,http://place.map.kakao.com/27548800,술집
르챔버,음식점 > 술집 > 칵테일바,서울 강남구 청담동 83-4,http://place.map.kakao.com/25689487,술집
난지당,"음식점 > 술집 > 호프,요리주점",서울 강남구 도곡동 957-1,http://place.map.kakao.com/25978142,술집
제스트,음식점 > 술집 > 칵테일바,서울 강남구 청담동 88-1,http://place.map.kakao.com/629498800,술집
이자카야나무 강남2호점,음식점 > 술집 > 일본식주점,서울 강남구 역삼동 831-3,http://place.map.kakao.com/24787743,술집
선주가 선릉점,"음식점 > 술집 > 호프,요리주점",서울 강남구 대치동 900-56,http://place.map.kakao.com/1296339081,술집
시라카와,음식점 > 술집 > 일본식주점,서울 강남구 신사동 664-24,http://place.map.kakao.com/18837920,술집
오레노유메 가로수길점,음식점 > 술집 > 일본식주점,서울 강남구 신사동 515,http://place.map.kakao.com/1309217753,술집
소문난집 토종닭곰탕,음식점 > 술집 > 실내포장마차,서울 강남구 삼성동 8-1,http://place.map.kakao.com/9152038,술집
박고볼래 논현점,음식점 > 술집 > 실내포장마차,서울 강남구 논현동 242-21,http://place.map.kakao.com/11572197,술집
광주육전,"음식점 > 술집 > 호프,요리주점",서울 강남구 논현동 162,http://place.map.kakao.com/832441144,술집
포사로,음식점 > 술집 > 일본식주점,서울 강남구 신사동 517-8,http://place.map.kakao.com/1878431824,술집
전봇대,음식점 > 술집 > 실내포장마차,서울 강남구 역삼동 687,http://place.map.kakao.com/27502255,술집
하레이자카야,음식점 > 술집 > 일본식주점,서울 강남구 대치동 944-25,http://place.map.kakao.com/19927140,술집
수다 청담점,음식점 > 술집 > 일본식주점,서울 강남구 청담동 88-31,http://place.map.kakao.com/825871944,술집
라스트춘선 강남,음식점 > 술집,서울 강남구 역삼동 818-4,http://place.map.kakao.com/117111217,술집
마코토 청담점,음식점 > 술집 > 일본식주점,서울 강남구 청담동 92-18,http://place.map.kakao.com/14535331,술집
로코컴플렉스,음식점 > 술집,서울 강남구 신사동 662-2,http://place.map.kakao.com/741208970,술집
모로미 도산공원점,음식점 > 술집 > 일본식주점 > 모로미,서울 강남구 신사동 643-11,http://place.map.kakao.com/17348570,술집
육다시구,음식점 > 술집 > 와인바,서울 강남구 논현동 6-9,http://place.map.kakao.com/787825791,술집
센도수산,음식점 > 술집 > 일본식주점,서울 강남구 대치동 900-9,http://place.map.kakao.com/418495008,술집
몰트바 배럴,"음식점 > 술집 > 호프,요리주점",서울 강남구 삼성동 151-29,http://place.map.kakao.com/1044855043,술집
춘식당,"음식점 > 술집 > 호프,요리주점",서울 강남구 신사동 559-10,http://place.map.kakao.com/137451961,술집
꼭그닭,음식점 > 술집,서울 강남구 역삼동 812-18,http://place.map.kakao.com/1757399379,술집
사랑방,"음식점 > 술집 > 호프,요리주점",서울 강남구 논현동 199-24,http://place.map.kakao.com/9058351,술집
청담류 1호점,음식점 > 술집 > 일본식주점,서울 강남구 청담동 22-11,http://place.map.kakao.com/517267589,술집
뻐꾸기,음식점 > 술집 > 실내포장마차,서울 강남구 신사동 561-17,http://place.map.kakao.com/7913187,술집
오츄카,"음식점 > 술집 > 호프,요리주점",서울 강남구 도곡동 411-18,http://place.map.kakao.com/1631791028,술집
믹솔로지,음식점 > 술집 > 칵테일바,서울 강남구 청담동 22-14,http://place.map.kakao.com/27455200,술집
전가,"음식점 > 술집 > 호프,요리주점",서울 강남구 대치동 936-33,http://place.map.kakao.com/16768193,술집
센민,음식점 > 술집 > 일본식주점,서울 강남구 역삼동 640-17,http://place.map.kakao.com/27273310,술집
오뎅야 본점,음식점 > 술집 > 오뎅바,서울 강남구 삼성동 34-1,http://place.map.kakao.com/16444025,술집
이케맨 강남역점,음식점 > 술집 > 일본식주점,서울 강남구 역삼동 817-2,http://place.map.kakao.com/720401197,술집
디히랑,음식점 > 술집,서울 강남구 논현동 218-20,http://place.map.kakao.com/621942456,술집
나즈드라비 본점,"음식점 > 술집 > 호프,요리주점",서울 강남구 역삼동 817-15,http://place.map.kakao.com/27587532,술집
다슬음,"음식점 > 술집 > 호프,요리주점",서울 강남구 역삼동 836-24,http://place.map.kakao.com/1721267212,술집
호선생전 선릉점,"음식점 > 술집 > 호프,요리주점",서울 강남구 대치동 895,http://place.map.kakao.com/562367627,술집
밤을걷는선비,"음식점 > 술집 > 호프,요리주점",서울 강남구 논현동 182-29,http://place.map.kakao.com/2016997121,술집
리커테이션,음식점 > 술집 > 와인바,서울 강남구 신사동 532-4,http://place.map.kakao.com/1768655445,술집
김봉남포장마차 역삼2호점,음식점 > 술집 > 실내포장마차,서울 강남구 역삼동 736-54,http://place.map.kakao.com/25703673,술집
도곡여울,음식점 > 술집 > 일본식주점,서울 강남구 도곡동 517-1,http://place.map.kakao.com/925060951,술집
문익점,"음식점 > 술집 > 호프,요리주점",서울 강남구 역삼동 817-36,http://place.map.kakao.com/1364482509,술집
